                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95926,                 1.9516,                 1.3139,                0.57906,                0.57181,                0.58592,                0.38876,                 1.0953,                 1.4025,                  1.412,             0.00013884,             0.00013884,             0.00013884
                      1,                 1.0426,                 1.5802,                 1.3774,                0.56642,                0.51226,                0.52516,                0.33192,                 1.1652,                 1.5187,                 1.4874,             0.00026684,             0.00026684,             0.00026684
                      2,                 1.0954,                 1.6593,                 1.4229,                0.52141,                0.46488,                 0.4551,                 0.2822,                 1.2242,                 1.6649,                 1.5475,             0.00038382,             0.00038382,             0.00038382
                      3,                 1.0965,                 1.6396,                 1.4255,                0.60492,                0.50817,                0.52839,                0.34505,                 1.1702,                  1.485,                  1.514,             0.00036746,             0.00036746,             0.00036746
                      4,                 1.0729,                 1.5769,                  1.411,                0.56293,                0.52346,                0.53118,                0.35275,                 1.1277,                 1.4817,                 1.4788,             0.00036746,             0.00036746,             0.00036746
                      5,                 1.0434,                 1.4955,                 1.3912,                0.59688,                0.55511,                0.57268,                 0.3869,                 1.0855,                 1.3915,                 1.4345,             0.00035095,             0.00035095,             0.00035095
                      6,                 1.0165,                 1.4303,                 1.3619,                0.63971,                0.54853,                0.57833,                0.40101,                 1.0781,                 1.3703,                 1.4246,             0.00033443,             0.00033443,             0.00033443
                      7,                0.99868,                 1.3784,                 1.3498,                0.61109,                0.57164,                 0.5982,                0.40814,                  1.068,                 1.2943,                 1.4102,             0.00031792,             0.00031792,             0.00031792
                      8,                0.97198,                 1.3327,                 1.3364,                0.65179,                0.58036,                0.61822,                0.42747,                 1.0459,                 1.2633,                 1.3914,             0.00030141,             0.00030141,             0.00030141
                      9,                0.95381,                 1.2887,                 1.3207,                0.65825,                0.58588,                0.62659,                0.44316,                 1.0242,                 1.2244,                 1.3754,             0.00028489,             0.00028489,             0.00028489
                     10,                0.93599,                 1.2577,                 1.3052,                0.67544,                0.59489,                 0.6449,                0.45699,                 1.0099,                 1.1933,                 1.3594,             0.00026838,             0.00026838,             0.00026838
                     11,                0.92118,                 1.2159,                 1.2887,                0.67189,                0.60505,                0.64614,                0.46126,                0.99401,                 1.1689,                  1.343,             0.00025187,             0.00025187,             0.00025187
                     12,                0.90828,                 1.1741,                 1.2823,                0.69708,                0.61008,                0.66073,                0.47576,                 0.9828,                 1.1592,                  1.339,             0.00023535,             0.00023535,             0.00023535
                     13,                0.88395,                 1.1348,                 1.2675,                0.68634,                0.61062,                0.66191,                0.47967,                0.97892,                 1.1503,                 1.3356,             0.00021884,             0.00021884,             0.00021884
                     14,                0.87674,                 1.1097,                   1.26,                0.72068,                0.60183,                0.67444,                0.48985,                0.96141,                 1.1203,                 1.3283,             0.00020233,             0.00020233,             0.00020233
                     15,                0.87156,                0.98323,                  1.267,                0.70051,                0.61598,                 0.6657,                0.48716,                0.95763,                 1.1291,                 1.3204,             0.00018582,             0.00018582,             0.00018582
                     16,                0.84252,                0.94075,                 1.2414,                0.70361,                0.62422,                 0.6783,                0.49843,                0.95179,                 1.1033,                 1.3103,              0.0001693,              0.0001693,              0.0001693
                     17,                0.82248,                0.90013,                 1.2253,                0.73054,                0.60965,                0.68558,                0.50933,                0.93026,                 1.0887,                 1.2997,             0.00015279,             0.00015279,             0.00015279
                     18,                0.80197,                0.85927,                 1.2064,                0.71419,                0.63741,                0.69149,                0.51362,                 0.9326,                 1.0876,                 1.2991,             0.00013628,             0.00013628,             0.00013628
                     19,                0.78394,                0.81983,                 1.1902,                0.72391,                0.61785,                0.68272,                0.51132,                0.92355,                  1.079,                 1.2942,             0.00011976,             0.00011976,             0.00011976
                     20,                0.76649,                0.78953,                 1.1752,                0.71293,                0.65177,                0.69448,                0.52107,                0.91633,                  1.062,                 1.2836,             0.00010325,             0.00010325,             0.00010325
                     21,                0.74642,                0.75095,                 1.1581,                0.71217,                0.64574,                0.69469,                0.52282,                0.91456,                 1.0669,                 1.2825,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     22,                0.73091,                0.72325,                 1.1444,                0.72862,                0.63407,                0.69247,                0.52059,                0.91467,                  1.069,                 1.2843,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     23,                0.71572,                0.69721,                 1.1356,                0.73108,                0.64208,                0.70079,                 0.5287,                0.90613,                 1.0471,                 1.2793,              5.371e-05,              5.371e-05,              5.371e-05
                     24,                0.70254,                0.67239,                 1.1204,                0.73237,                0.63364,                0.69662,                0.52839,                0.90422,                 1.0525,                 1.2767,             3.7196e-05,             3.7196e-05,             3.7196e-05
